tt61416848,Docs Big CaseSenior SinnersA Booming Romance,Docs Big CaseSenior SinnersA Booming Romance,1983,60,"Comedy,Drama,Romance",6.8,58,7,writer,written by,6,16,Barry E. Blitzer,1929,2010,"writer,miscellaneous,script_department"
tt61462806,Candice Bergen,Candice Bergen,1976,25,"Comedy,Family,Music",7.6,206,6,writer,written by,1,15,Jack Burns,1933,2020,"actor,writer,producer"
tt61635956,Carol Channing Peter Lawford Maria Riva,Carol Channing Peter Lawford Maria Riva,1953,60,"Comedy,Family",6.9,9,7,writer,written by,6,9,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt61701379,The Second Time Around,The Second Time Around,1967,30,"Comedy,Romance",8.8,7,6,writer,written by,1,2,Jim Parker,1936,2018,"writer,producer,director"
tt61715486,What Are Friends For,What Are Friends For,1979,60,Drama,7.9,13,8,writer,writer,1,6,Ray Brenner,1927,1995,"writer,miscellaneous"
tt61743099,The Relatives,The Relatives,1968,24,Comedy,7.0,32,8,writer,created by,1,13,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt61749161,Kates Career,Kates Career,1958,30,"Comedy,Family",8.1,21,8,writer,written by,1,28,Irving Elinson,1907,1967,"writer,producer"
tt61772510,Opie Joins the Marines,Opie Joins the Marines,1966,30,"Comedy,War",7.1,82,6,writer,written by,2,26,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt61798228,Dynamite Diner,Dynamite Diner,1969,30,"Comedy,War",7.3,55,8,writer,created by,5,19,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt61903028,Double Date with the Sarge,Double Date with the Sarge,1965,30,"Comedy,War",7.5,50,7,writer,created by,1,26,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt61907672,How to Be Head of the House,How to Be Head of the House,1960,30,"Comedy,Family",7.8,14,6,writer,written by,7,16,Frank Tarloff,1916,1999,"writer,miscellaneous,script_department"
tt61934636,An Old Old Friend of the Family,An Old Old Friend of the Family,1964,30,"Comedy,Family,Sci-Fi",7.3,48,6,writer,written by,1,23,John L. Greene,1912,1995,"writer,producer"
tt61935435,Dial M for Martin,Dial M for Martin,1964,30,"Comedy,Family,Sci-Fi",7.3,32,7,writer,written by,2,5,Irving Elinson,1907,1967,"writer,producer"
tt61977084,Christmas Story,Christmas Story,1960,26,"Comedy,Family",9.2,675,6,writer,written by,1,11,Frank Tarloff,1916,1999,"writer,miscellaneous,script_department"
tt61981383,The House at Smugglers Cove,The House at Smugglers Cove,1961,30,"Comedy,Family",8.4,16,8,writer,teleplay and story,5,8,Roland MacLane,1903,1984,writer
tt61987661,Lifesavers,Lifesavers,1986,25,"Comedy,Family",7.8,83,7,writer,written by,2,4,Jim Parker,1936,2018,"writer,producer,director"
tt62124551,The August Teahouse of Quint McHale,The August Teahouse of Quint McHale,1963,30,"Comedy,War",7.3,39,7,writer,written by,2,10,Stan Dreben,1918,1980,"writer,script_department,miscellaneous"
tt62180907,George Washington Zapped Here Part 2,George Washington Zapped Here Part 2,1972,26,"Comedy,Family,Fantasy",5.2,206,6,writer,written by,8,22,Michael Morris,1918,2003,"writer,miscellaneous,producer"
tt62214997,The Night Life of Uncle Martin,The Night Life of Uncle Martin,1964,30,"Comedy,Family,Sci-Fi",7.4,32,8,writer,creator,2,12,John L. Greene,1912,1995,"writer,producer"
tt62356975,Quiet Sam,Quiet Sam,1961,26,"Comedy,Family",8.1,351,7,writer,written by,1,29,Everett Greenbaum,1919,1999,"writer,actor,miscellaneous"
tt62400721,The Mayberry Float,The Mayberry Float,1970,30,"Comedy,Family",7.0,13,8,cinematographer,director of photography,2,23,Sidney Hickox,1895,1982,"cinematographer,camera_department,actor"
tt62464130,Joey and Buddy Hackett Have a Luau,Joey and Buddy Hackett Have a Luau,1964,30,Comedy,5.9,10,6,writer,teleplay,3,21,Stan Dreben,1918,1980,"writer,script_department,miscellaneous"
tt62484329,Floridas Favorite Passenger Part 1,Floridas Favorite Passenger Part 1,1979,25,Comedy,7.8,63,9,writer,story editor,6,14,Joseph Bonaduce,1927,2004,"writer,miscellaneous,producer"
tt62525243,The Ham in the Family,The Ham in the Family,1961,30,Comedy,7.3,15,6,writer,written by,1,13,Irving Elinson,1907,1967,"writer,producer"
tt62552521,The Matchmakers,The Matchmakers,1968,23,Comedy,7.1,38,8,writer,created by,1,4,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt62553784,Diamond in the Rough,Diamond in the Rough,1954,26,Comedy,5.4,7,7,writer,written by,1,12,Benedict Freedman,1919,2012,writer
tt62557540,Tennis Anyone,Tennis Anyone,1962,30,"Comedy,Family",8.1,107,8,writer,written by,5,33,Roland MacLane,1903,1984,writer
tt62564244,The Price of Tomatoes,The Price of Tomatoes,1968,30,"Comedy,War",7.7,51,8,writer,created by,4,25,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt62744190,Cousin Naomi,Cousin Naomi,1960,30,"Comedy,Family",8.1,17,7,writer,teleplay,3,22,John L. Greene,1912,1995,"writer,producer"
tt62829528,How to Discover Oil,How to Discover Oil,1960,30,"Comedy,Family",7.3,19,7,writer,written by,3,28,Frank Tarloff,1916,1999,"writer,miscellaneous,script_department"
tt62876649,Operation Arctic,Operation Arctic,1963,30,Comedy,7.6,7,6,writer,written by,1,27,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt62888167,JC and Julie Part 2,JC and Julie Part 2,1977,30,Comedy,7.5,101,9,writer,teleplay by,2,14,Joseph Bonaduce,1927,2004,"writer,miscellaneous,producer"
tt62898064,Girl Shy,Girl Shy,1965,30,"Comedy,Family",6.0,187,9,writer,created by,6,15,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt62978966,The Music Man,The Music Man,1972,24,Comedy,6.9,25,6,writer,written by,5,9,Laurence Marks,1915,1993,"writer,script_department,producer"
tt63015620,Gomer Learns a Bully,Gomer Learns a Bully,1964,30,"Comedy,War",7.6,73,7,writer,created by,1,5,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt63023572,Sue the Pants Off Em,Sue the Pants Off Em,1967,30,"Comedy,War",7.5,55,6,writer,written by,3,20,Ray Brenner,1927,1995,"writer,miscellaneous"
tt63041576,Gomer and the Queen of Burlesque,Gomer and the Queen of Burlesque,1968,30,"Comedy,War",7.6,60,8,writer,created by,4,21,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt63042668,Jed Saves Drysdales Marriage,Jed Saves Drysdales Marriage,1963,30,"Comedy,Family",7.9,111,7,writer,written by,1,18,Phil Shuken,1911,1978,"writer,producer"
tt63044456,The Colonels Horse,The Colonels Horse,1976,25,"Comedy,Drama,War",7.6,477,7,writer,written by,5,11,Everett Greenbaum,1919,1999,"writer,actor,miscellaneous"
tt63065206,The Slumlord,The Slumlord,1972,26,Comedy,6.6,95,9,writer,story consultant,1,13,Frank Tarloff,1916,1999,"writer,miscellaneous,script_department"
